respondent_id,skills,num_skills,top_certification,weekly_learning_hours,primary_learning_platform,learned_genai_skills_2024_2026,employer_provides_ai_training
R10673,A/B Testing; Time Series Analysis; Feature Engineering; Edge AI / TinyML; Reinforcement Learning; TensorFlow; Scikit-learn; LangChain; Transformers; GCP; MLOps,11,Coursera ML Certificate,13,Pluralsight,Yes,Partially
R10674,R; A/B Testing; Scikit-learn; Prompt Engineering; Edge AI / TinyML; SQL,6,Google Professional ML Engineer,7,LinkedIn Learning,Yes,Yes
R10675,TensorFlow; PyTorch; Data Visualization; Prompt Engineering; Computer Vision; Feature Engineering,6,Azure AI Engineer,11,DeepLearning.AI,Yes,Partially
R10676,SQL; MLOps; Time Series Analysis; Data Visualization; Fine-tuning LLMs; LangChain; Edge AI / TinyML; AWS,8,,9,Fast.ai,Yes,Partially
R10677,MLOps; TensorFlow; Time Series Analysis; PyTorch; Edge AI / TinyML; LangChain; RAG Pipelines; NLP,8,Coursera ML Certificate,4,Coursera,Yes,Yes
R10678,Spark; Pandas; GCP; Reinforcement Learning; Generative AI; Feature Engineering; R; Graph Neural Networks; Fine-tuning LLMs; LangChain; Statistics,11,TensorFlow Developer Certificate,10,LinkedIn Learning,Yes,No
R10679,R; Graph Neural Networks; RAG Pipelines; AWS; Computer Vision; Fine-tuning LLMs; Reinforcement Learning; Transformers; Time Series Analysis,9,AWS ML Specialty,0,Fast.ai,No,No
R10680,PyTorch; Reinforcement Learning; LangChain; Scikit-learn; Transformers; RAG Pipelines; Data Visualization; R; TensorFlow; Fine-tuning LLMs,10,,8,Self-study (books/papers),Yes,Partially
R10681,Transformers; Statistics; AWS; Computer Vision; TensorFlow; Docker; Fine-tuning LLMs; RAG Pipelines; Pandas; Python; Edge AI / TinyML,11,,3,Company training,Yes,No
R10682,MLOps; Transformers; LangChain; TensorFlow; Fine-tuning LLMs; Data Visualization; Time Series Analysis; NLP; R; Docker,10,Google Professional ML Engineer,0,DeepLearning.AI,No,No
R10683,Pandas; Graph Neural Networks; Scikit-learn; Feature Engineering; Azure; Transformers; A/B Testing,7,,9,Self-study (books/papers),No,No
R10684,Docker; Transformers; Edge AI / TinyML; Data Visualization; RAG Pipelines; Scikit-learn; MLOps; AWS; Time Series Analysis; Generative AI; TensorFlow; Python,12,AWS ML Specialty,11,Self-study (books/papers),Yes,Yes
R10685,Kubernetes; PyTorch; NLP; Graph Neural Networks; Docker; A/B Testing; MLOps; Python; Generative AI,9,Azure AI Engineer,9,Udemy,No,No
R10686,SQL; Transformers; RAG Pipelines; GCP; Kubernetes; Graph Neural Networks,6,,15,DeepLearning.AI,Yes,Yes
R10687,Azure; Transformers; Spark; GCP; Kubernetes; A/B Testing; Time Series Analysis; TensorFlow,8,Coursera ML Certificate,10,Udemy,Yes,Yes
R10688,Computer Vision; RAG Pipelines; Data Visualization; TensorFlow; Reinforcement Learning; Time Series Analysis; Transformers; Prompt Engineering; NLP; Docker,10,Kaggle Competitions Expert,0,LinkedIn Learning,Yes,No
R10689,Time Series Analysis; RAG Pipelines; Azure; A/B Testing; LangChain; Kubernetes,6,DeepLearning.AI Specialization,0,YouTube,Yes,Partially
R10690,LangChain; Pandas; Time Series Analysis,3,DeepLearning.AI Specialization,4,DeepLearning.AI,Yes,Partially
R10691,GCP; Edge AI / TinyML; A/B Testing; Prompt Engineering; PyTorch; Azure; Docker; RAG Pipelines; TensorFlow; Feature Engineering; R,11,TensorFlow Developer Certificate,3,edX,Yes,Yes
R10692,Python; Prompt Engineering; PyTorch; Graph Neural Networks; Pandas; Statistics,6,TensorFlow Developer Certificate,13,edX,Yes,Partially
R10693,Computer Vision; Spark; NLP; Data Visualization; Generative AI; Time Series Analysis; TensorFlow,7,,7,Fast.ai,No,Partially
R10694,Data Visualization; Kubernetes; Fine-tuning LLMs; Transformers,4,AWS ML Specialty,6,Udemy,Yes,Partially
R10695,Time Series Analysis; AWS; Edge AI / TinyML; Transformers; GCP; Docker; Scikit-learn; LangChain; Spark,9,Azure AI Engineer,9,Coursera,No,Yes
R10696,Data Visualization; AWS; Pandas; A/B Testing; Generative AI; Spark; MLOps,7,Google Professional ML Engineer,14,University courses,Yes,Partially
R10697,Python; MLOps; Time Series Analysis,3,Azure AI Engineer,13,YouTube,Yes,No
R10698,Edge AI / TinyML; Data Visualization; PyTorch; GCP; Time Series Analysis; Computer Vision; Scikit-learn; Reinforcement Learning,8,Coursera ML Certificate,5,Fast.ai,Yes,No
R10699,SQL; Fine-tuning LLMs; Reinforcement Learning; R; Edge AI / TinyML; Graph Neural Networks,6,Coursera ML Certificate,11,Udemy,Yes,No
R10700,Fine-tuning LLMs; SQL; PyTorch; MLOps; Generative AI; Edge AI / TinyML; Computer Vision; Reinforcement Learning; Prompt Engineering; GCP; Spark; RAG Pipelines; Pandas,13,,2,YouTube,Yes,Partially
R10701,NLP; Scikit-learn; Generative AI; LangChain; Prompt Engineering; Graph Neural Networks; Kubernetes; Azure,8,,3,edX,Yes,Yes
R10702,RAG Pipelines; Docker; Statistics; PyTorch; Azure,5,Kaggle Competitions Expert,8,Self-study (books/papers),No,Yes
R10703,A/B Testing; Scikit-learn; Edge AI / TinyML; Generative AI; GCP; AWS; Data Visualization; Statistics; SQL; Azure,10,Coursera ML Certificate,6,Pluralsight,Yes,Partially
R10704,RAG Pipelines; MLOps; NLP; Data Visualization; A/B Testing,5,,17,DeepLearning.AI,Yes,No
R10705,LangChain; Transformers; Spark; Pandas; NLP,5,Kaggle Competitions Expert,10,YouTube,Yes,Partially
R10706,SQL; Scikit-learn; MLOps; Computer Vision; AWS; Graph Neural Networks; Azure,7,TensorFlow Developer Certificate,4,edX,Yes,No
R10707,A/B Testing; Time Series Analysis; Scikit-learn; GCP,4,,9,Udemy,Yes,No
R10708,Computer Vision; Azure; R; PyTorch,4,TensorFlow Developer Certificate,14,Coursera,No,Partially
R10709,Docker; GCP; Time Series Analysis; Spark; Feature Engineering; AWS,6,Kaggle Competitions Expert,15,Pluralsight,No,Partially
R10710,Kubernetes; A/B Testing; Statistics; Docker; LangChain; Computer Vision,6,Google Professional ML Engineer,4,University courses,Yes,Yes
R10711,Docker; Scikit-learn; SQL; Computer Vision; Generative AI; PyTorch; Fine-tuning LLMs; AWS; Spark; Feature Engineering; Data Visualization; NLP; Time Series Analysis; Kubernetes,14,Google Professional ML Engineer,0,LinkedIn Learning,Yes,No
R10712,Statistics; RAG Pipelines; MLOps; Docker; PyTorch; Transformers,6,,7,University courses,No,No
R10713,Docker; Transformers; Kubernetes; Graph Neural Networks; Data Visualization; PyTorch; NLP,7,DeepLearning.AI Specialization,6,edX,Yes,Yes
R10714,Statistics; SQL; Generative AI; LangChain; PyTorch; Fine-tuning LLMs; Graph Neural Networks; Scikit-learn; Transformers; NLP,10,TensorFlow Developer Certificate,1,Self-study (books/papers),Yes,Partially
R10715,Data Visualization; Statistics; Fine-tuning LLMs; Scikit-learn; Kubernetes; A/B Testing; Azure; NLP,8,DeepLearning.AI Specialization,13,University courses,Yes,No
R10716,Statistics; GCP; SQL; Prompt Engineering; NLP; Generative AI; Azure; Data Visualization,8,,15,Pluralsight,No,Partially
R10717,Feature Engineering; Graph Neural Networks; A/B Testing; Scikit-learn; Statistics; Kubernetes; SQL; Edge AI / TinyML; RAG Pipelines; PyTorch; TensorFlow; MLOps,12,AWS ML Specialty,11,Pluralsight,Yes,Partially
R10718,A/B Testing; SQL; Edge AI / TinyML; Fine-tuning LLMs; Scikit-learn; Time Series Analysis; Graph Neural Networks,7,,12,Coursera,Yes,Yes
R10719,MLOps; Time Series Analysis; Edge AI / TinyML; RAG Pipelines; Prompt Engineering; Computer Vision,6,Coursera ML Certificate,7,Company training,No,Partially
R10720,Transformers; Data Visualization; Python; MLOps; Docker; Computer Vision; RAG Pipelines; Fine-tuning LLMs; Kubernetes; Azure; Statistics; NLP; Scikit-learn; Edge AI / TinyML,14,Google Professional ML Engineer,2,Self-study (books/papers),Yes,Yes
R10721,Azure; Pandas; RAG Pipelines; Docker; Time Series Analysis; Transformers; SQL; Graph Neural Networks; Computer Vision; A/B Testing; Fine-tuning LLMs; NLP; Data Visualization; Scikit-learn; Spark,15,TensorFlow Developer Certificate,10,Kaggle Learn,No,Partially
R10722,MLOps; Edge AI / TinyML; Prompt Engineering; A/B Testing; RAG Pipelines; Computer Vision; PyTorch; Azure; NLP; Spark; Docker; Reinforcement Learning; Data Visualization; Statistics; LangChain,15,TensorFlow Developer Certificate,15,Pluralsight,No,Partially
R10723,MLOps; Edge AI / TinyML; Time Series Analysis; TensorFlow; A/B Testing; Fine-tuning LLMs; Spark; Data Visualization; GCP; Generative AI; Transformers; Statistics; PyTorch,13,,9,Fast.ai,Yes,No
R10724,Spark; Generative AI; Reinforcement Learning; Fine-tuning LLMs,4,,3,Pluralsight,Yes,Yes
R10725,MLOps; Docker; Computer Vision; Graph Neural Networks; Edge AI / TinyML; RAG Pipelines; SQL,7,,0,Coursera,Yes,No
R10726,Data Visualization; Kubernetes; Feature Engineering; Computer Vision,4,,15,Self-study (books/papers),Yes,Partially
R10727,Time Series Analysis; NLP; Azure; Spark; SQL; Statistics; Fine-tuning LLMs; Computer Vision; Reinforcement Learning; LangChain; Generative AI,11,,9,Udemy,No,Yes
R10728,Data Visualization; Spark; Scikit-learn; Kubernetes; MLOps; Graph Neural Networks,6,,4,Self-study (books/papers),No,Yes
R10729,A/B Testing; Docker; Edge AI / TinyML; Time Series Analysis; GCP; Transformers; Kubernetes; Generative AI; Reinforcement Learning; Statistics,10,AWS ML Specialty,3,YouTube,Yes,Yes
R10730,TensorFlow; RAG Pipelines; Computer Vision; Docker; GCP; MLOps; Python; PyTorch; Edge AI / TinyML; Statistics,10,AWS ML Specialty,13,YouTube,Yes,Partially
R10731,Python; Kubernetes; Reinforcement Learning; Docker; Generative AI; Scikit-learn; Azure,7,,10,YouTube,No,Yes
R10732,Statistics; Transformers; R; Computer Vision,4,,0,YouTube,Yes,Yes
R10733,Transformers; GCP; Generative AI; Kubernetes; Prompt Engineering; NLP; Time Series Analysis; RAG Pipelines,8,DeepLearning.AI Specialization,4,DeepLearning.AI,Yes,Yes
R10734,MLOps; Reinforcement Learning; Prompt Engineering; Transformers,4,,9,University courses,No,No
R10735,Prompt Engineering; Edge AI / TinyML; LangChain; Graph Neural Networks; Fine-tuning LLMs; Transformers; AWS; MLOps; NLP; Reinforcement Learning; SQL; Scikit-learn,12,,2,University courses,Yes,Yes
R10736,Docker; GCP; A/B Testing,3,Azure AI Engineer,7,Coursera,Yes,Yes
R10737,PyTorch; Edge AI / TinyML; LangChain,3,Azure AI Engineer,7,LinkedIn Learning,Yes,Partially
R10738,NLP; GCP; Computer Vision; Feature Engineering; LangChain; A/B Testing; Scikit-learn,7,AWS ML Specialty,12,Pluralsight,Yes,No
R10739,Scikit-learn; MLOps; Graph Neural Networks; Docker; Generative AI; Computer Vision; Time Series Analysis,7,,19,Kaggle Learn,Yes,Partially
R10740,Docker; Statistics; NLP; SQL; Scikit-learn; Transformers; Azure; Prompt Engineering; Edge AI / TinyML,9,DeepLearning.AI Specialization,8,edX,Yes,No
R10741,Generative AI; LangChain; Azure; Computer Vision; Prompt Engineering; Kubernetes,6,,7,Coursera,No,Partially
R10742,Statistics; Azure; Prompt Engineering; Edge AI / TinyML,4,,4,Self-study (books/papers),Yes,Yes
R10743,NLP; R; Spark; Reinforcement Learning; Pandas; Fine-tuning LLMs; MLOps; Feature Engineering; Transformers; Prompt Engineering,10,Google Professional ML Engineer,8,DeepLearning.AI,Yes,No
R10744,LangChain; SQL; TensorFlow; PyTorch; Fine-tuning LLMs,5,AWS ML Specialty,6,DeepLearning.AI,No,Yes
R10745,Kubernetes; Data Visualization; R; Azure; GCP; Pandas; RAG Pipelines; Prompt Engineering,8,Azure AI Engineer,0,Coursera,No,Yes
R10746,Docker; GCP; R; Feature Engineering; Python,5,Coursera ML Certificate,8,DeepLearning.AI,No,No
R10747,RAG Pipelines; Computer Vision; R; Azure; MLOps; Kubernetes; Data Visualization,7,AWS ML Specialty,6,Kaggle Learn,No,Partially
R10748,Statistics; Kubernetes; Graph Neural Networks; R; Spark,5,Azure AI Engineer,9,DeepLearning.AI,Yes,Partially
R10749,Spark; Transformers; Feature Engineering; TensorFlow; Data Visualization; Statistics; NLP,7,Kaggle Competitions Expert,3,Self-study (books/papers),Yes,No
R10750,A/B Testing; Time Series Analysis; Reinforcement Learning; AWS; Fine-tuning LLMs; Computer Vision; Edge AI / TinyML; Transformers; Data Visualization; MLOps,10,,3,Coursera,No,Partially
R10751,RAG Pipelines; Azure; Fine-tuning LLMs; Transformers; Docker; LangChain; Feature Engineering; AWS,8,DeepLearning.AI Specialization,17,LinkedIn Learning,Yes,No
R10752,Feature Engineering; AWS; Reinforcement Learning; MLOps; NLP; R; Generative AI; Graph Neural Networks; Scikit-learn; RAG Pipelines,10,Coursera ML Certificate,12,DeepLearning.AI,Yes,Partially
R10753,A/B Testing; Transformers; Graph Neural Networks; Python; Statistics; Fine-tuning LLMs; Reinforcement Learning; Pandas; SQL; Prompt Engineering; MLOps,11,Coursera ML Certificate,7,Kaggle Learn,No,Yes
R10754,Edge AI / TinyML; Statistics; AWS; A/B Testing; Python; SQL; RAG Pipelines; Spark,8,AWS ML Specialty,12,Coursera,Yes,No
R10755,Statistics; Generative AI; Time Series Analysis; Kubernetes; GCP; Azure; Data Visualization; Transformers; A/B Testing,9,DeepLearning.AI Specialization,11,Fast.ai,No,Yes
R10756,NLP; Data Visualization; Computer Vision; A/B Testing; AWS; Time Series Analysis,6,,14,University courses,Yes,No
R10757,A/B Testing; Azure; NLP; Kubernetes; Scikit-learn,5,AWS ML Specialty,2,University courses,Yes,No
R10758,Statistics; Scikit-learn; Transformers; Docker; AWS; Fine-tuning LLMs; Computer Vision; Azure; SQL; Graph Neural Networks; Python; Reinforcement Learning; A/B Testing,13,,3,Kaggle Learn,Yes,Yes
R10759,Fine-tuning LLMs; Transformers; Docker; Feature Engineering; Prompt Engineering; LangChain; Scikit-learn; NLP; AWS,9,Azure AI Engineer,2,Coursera,Yes,No
R10760,Transformers; RAG Pipelines; AWS; Scikit-learn; Graph Neural Networks; PyTorch; SQL; Computer Vision; Azure; Docker; GCP,11,Kaggle Competitions Expert,0,University courses,Yes,Partially
R10761,Time Series Analysis; Pandas; A/B Testing; MLOps; R; Kubernetes; NLP; Fine-tuning LLMs,8,,9,YouTube,No,Partially
R10762,NLP; Data Visualization; A/B Testing; Statistics; Computer Vision; Prompt Engineering; Fine-tuning LLMs; SQL,8,DeepLearning.AI Specialization,12,Company training,Yes,Partially
R10763,Edge AI / TinyML; Azure; Statistics; Generative AI; Docker; Pandas,6,,11,LinkedIn Learning,Yes,Partially
R10764,Azure; Transformers; MLOps; Graph Neural Networks; A/B Testing; LangChain; RAG Pipelines,7,Google Professional ML Engineer,11,Coursera,Yes,No
R10765,Spark; TensorFlow; Edge AI / TinyML; Generative AI; Statistics; Transformers; RAG Pipelines; Fine-tuning LLMs; AWS; Scikit-learn,10,AWS ML Specialty,6,University courses,No,Yes
R10766,Graph Neural Networks; Feature Engineering; SQL; Python; AWS; TensorFlow; Spark; Reinforcement Learning,8,Coursera ML Certificate,16,DeepLearning.AI,Yes,No
R10767,SQL; Generative AI; TensorFlow; Reinforcement Learning; Docker; Transformers; Time Series Analysis; Scikit-learn; Spark; Graph Neural Networks; Python; Azure,12,Azure AI Engineer,12,University courses,No,Yes
R10768,Scikit-learn; Pandas; RAG Pipelines,3,AWS ML Specialty,7,Udemy,Yes,Yes
R10769,Data Visualization; Edge AI / TinyML; Prompt Engineering; PyTorch; Docker; Graph Neural Networks,6,Google Professional ML Engineer,9,University courses,Yes,Yes
R10770,Pandas; PyTorch; Transformers; RAG Pipelines; GCP; NLP; Time Series Analysis; Generative AI; SQL,9,DeepLearning.AI Specialization,2,Self-study (books/papers),No,No
R10771,Fine-tuning LLMs; R; LangChain; Computer Vision; Pandas; Spark,6,Google Professional ML Engineer,17,edX,Yes,Yes
R10772,SQL; Prompt Engineering; MLOps,3,,0,edX,Yes,No
R10773,Scikit-learn; NLP; Edge AI / TinyML; RAG Pipelines; Data Visualization; SQL; MLOps; Pandas; Kubernetes,9,Azure AI Engineer,10,Fast.ai,Yes,Partially
R10774,Azure; Docker; Feature Engineering; Kubernetes; Fine-tuning LLMs; AWS; Spark,7,Google Professional ML Engineer,9,University courses,Yes,Partially
R10775,Azure; Generative AI; GCP; Spark; Reinforcement Learning; Python; Computer Vision; Scikit-learn; Transformers; Edge AI / TinyML; A/B Testing,11,,8,Self-study (books/papers),No,No
R10776,GCP; RAG Pipelines; Time Series Analysis; Transformers; Statistics; A/B Testing; PyTorch; Scikit-learn; Fine-tuning LLMs; TensorFlow; Pandas; LangChain; NLP,13,TensorFlow Developer Certificate,7,Self-study (books/papers),No,No
R10777,Edge AI / TinyML; Docker; Spark; Fine-tuning LLMs; Transformers; Prompt Engineering; Scikit-learn; Python,8,,10,Coursera,Yes,Partially
R10778,LangChain; Generative AI; Pandas; MLOps,4,,5,Pluralsight,No,Yes
R10779,Prompt Engineering; PyTorch; TensorFlow; RAG Pipelines; Computer Vision; Azure; Pandas; Scikit-learn,8,Kaggle Competitions Expert,15,Pluralsight,No,Partially
R10780,Scikit-learn; Generative AI; SQL; MLOps; Azure; Prompt Engineering,6,AWS ML Specialty,12,Self-study (books/papers),No,Yes
R10781,Docker; Azure; Generative AI; Data Visualization; Pandas; Reinforcement Learning; Kubernetes,7,AWS ML Specialty,9,Fast.ai,No,Yes
R10782,RAG Pipelines; Scikit-learn; Kubernetes; TensorFlow,4,Azure AI Engineer,4,Udemy,Yes,No
R10783,A/B Testing; Scikit-learn; LangChain; Pandas; PyTorch; TensorFlow; R; Kubernetes; Computer Vision; AWS; Reinforcement Learning; Data Visualization,12,Coursera ML Certificate,2,University courses,No,Partially
R10784,AWS; LangChain; Data Visualization; Feature Engineering; PyTorch; A/B Testing; Docker; Python; Prompt Engineering; Azure; Scikit-learn; Reinforcement Learning; MLOps; TensorFlow,14,Azure AI Engineer,2,Kaggle Learn,Yes,Partially
R10785,Transformers; Azure; Time Series Analysis; Reinforcement Learning; Python; AWS; GCP; NLP; Spark; A/B Testing; Graph Neural Networks; Fine-tuning LLMs; SQL,13,Coursera ML Certificate,12,Udemy,Yes,No
R10786,Docker; Python; MLOps; Scikit-learn; Graph Neural Networks; Feature Engineering; Transformers,7,,7,edX,Yes,Partially
R10787,LangChain; Computer Vision; PyTorch; NLP; Data Visualization; Transformers; Prompt Engineering,7,Coursera ML Certificate,6,Self-study (books/papers),No,No
R10788,Kubernetes; Azure; SQL; Python,4,AWS ML Specialty,7,LinkedIn Learning,Yes,Partially
R10789,LangChain; Pandas; Statistics; PyTorch; NLP; Feature Engineering; Data Visualization; Docker; Spark; Python,10,,7,Udemy,Yes,Yes
R10790,A/B Testing; TensorFlow; Edge AI / TinyML; Transformers,4,,5,Coursera,Yes,Yes
R10791,Python; Azure; Generative AI; GCP; Reinforcement Learning; LangChain,6,DeepLearning.AI Specialization,7,Udemy,No,Yes
R10792,Graph Neural Networks; Computer Vision; A/B Testing; Spark; Data Visualization; Generative AI,6,Coursera ML Certificate,9,Coursera,Yes,Partially
R10793,Spark; Kubernetes; SQL; Data Visualization; A/B Testing; Edge AI / TinyML,6,DeepLearning.AI Specialization,4,Coursera,Yes,Partially
R10794,Azure; Python; NLP; Prompt Engineering; Computer Vision; Data Visualization; Generative AI; TensorFlow; Statistics; LangChain; Transformers,11,,11,LinkedIn Learning,No,Yes
R10795,Fine-tuning LLMs; Transformers; A/B Testing; AWS; Data Visualization; RAG Pipelines; Edge AI / TinyML,7,Azure AI Engineer,3,Self-study (books/papers),Yes,No
R10796,RAG Pipelines; Python; Azure; Graph Neural Networks; R,5,TensorFlow Developer Certificate,0,University courses,Yes,Yes
R10797,Feature Engineering; Computer Vision; Graph Neural Networks; Pandas; MLOps; TensorFlow; RAG Pipelines; Reinforcement Learning; R; Scikit-learn; Azure; AWS; Time Series Analysis; Edge AI / TinyML; Prompt Engineering,15,,2,Udemy,No,No
R10798,Transformers; SQL; Azure; Fine-tuning LLMs; R; MLOps; Edge AI / TinyML; Python,8,DeepLearning.AI Specialization,0,Self-study (books/papers),Yes,Partially
R10799,Statistics; Feature Engineering; GCP; LangChain; Graph Neural Networks; Pandas; Time Series Analysis; Prompt Engineering,8,Kaggle Competitions Expert,13,Udemy,Yes,No
R10800,Pandas; NLP; TensorFlow; SQL,4,AWS ML Specialty,8,edX,No,Yes
R10801,Python; LangChain; Reinforcement Learning; Scikit-learn; Azure,5,DeepLearning.AI Specialization,2,DeepLearning.AI,Yes,Yes
R10802,Kubernetes; Scikit-learn; RAG Pipelines; Data Visualization; Computer Vision; Edge AI / TinyML; Python; Prompt Engineering; AWS; GCP; Graph Neural Networks,11,DeepLearning.AI Specialization,7,Udemy,Yes,Partially
R10803,MLOps; Edge AI / TinyML; Scikit-learn; NLP; Pandas; GCP; Fine-tuning LLMs,7,Azure AI Engineer,14,LinkedIn Learning,Yes,Partially
R10804,Feature Engineering; LangChain; NLP; Prompt Engineering; Reinforcement Learning; Generative AI; Data Visualization,7,TensorFlow Developer Certificate,4,Fast.ai,Yes,Yes
R10805,Reinforcement Learning; Statistics; Kubernetes; Scikit-learn,4,DeepLearning.AI Specialization,10,edX,Yes,No
R10806,Data Visualization; RAG Pipelines; Fine-tuning LLMs; Docker,4,Azure AI Engineer,16,Coursera,No,No
R10807,Scikit-learn; Data Visualization; Fine-tuning LLMs; Pandas; SQL; GCP,6,AWS ML Specialty,12,Company training,No,Partially
R10808,GCP; AWS; Azure,3,TensorFlow Developer Certificate,9,Company training,Yes,No
R10809,GCP; Prompt Engineering; AWS; Docker,4,Azure AI Engineer,0,Self-study (books/papers),Yes,No
R10810,Docker; NLP; Time Series Analysis; Data Visualization; SQL,5,Azure AI Engineer,6,Company training,Yes,Partially
R10811,MLOps; Data Visualization; Transformers; Kubernetes; Edge AI / TinyML; Reinforcement Learning; Spark,7,DeepLearning.AI Specialization,8,Company training,Yes,Partially
R10812,MLOps; GCP; NLP; A/B Testing; Pandas; Reinforcement Learning; Graph Neural Networks; PyTorch,8,,12,DeepLearning.AI,No,Yes
R10813,Scikit-learn; Pandas; AWS; Kubernetes; MLOps; SQL; RAG Pipelines; Data Visualization; Transformers,9,Azure AI Engineer,13,YouTube,Yes,Yes
R10814,Reinforcement Learning; Edge AI / TinyML; Pandas; Computer Vision; NLP; Fine-tuning LLMs; TensorFlow; LangChain,8,,9,edX,Yes,Yes
R10815,Spark; Fine-tuning LLMs; Graph Neural Networks; Statistics; Azure; R,6,Coursera ML Certificate,6,LinkedIn Learning,No,Partially
R10816,Computer Vision; Azure; TensorFlow; Edge AI / TinyML; SQL; Scikit-learn; NLP; Spark,8,Coursera ML Certificate,6,Self-study (books/papers),No,Yes
R10817,TensorFlow; Generative AI; Feature Engineering; GCP; Graph Neural Networks; SQL; Spark; Docker; MLOps,9,Azure AI Engineer,2,Fast.ai,Yes,Partially
R10818,Data Visualization; NLP; RAG Pipelines; Edge AI / TinyML; SQL; Transformers; LangChain; MLOps; Computer Vision; Pandas; Generative AI,11,AWS ML Specialty,9,Udemy,Yes,No
R10819,MLOps; Transformers; Reinforcement Learning; Generative AI; Statistics; Fine-tuning LLMs; A/B Testing,7,DeepLearning.AI Specialization,12,Udemy,Yes,Partially
R10820,Data Visualization; Python; LangChain; RAG Pipelines; SQL; Docker; A/B Testing; Scikit-learn; Time Series Analysis; R; AWS; NLP,12,Google Professional ML Engineer,24,edX,Yes,Partially
R10821,Fine-tuning LLMs; LangChain; R; Prompt Engineering; PyTorch,5,AWS ML Specialty,0,Kaggle Learn,Yes,No
R10822,Edge AI / TinyML; MLOps; R; Generative AI; LangChain; Spark; Graph Neural Networks; GCP,8,TensorFlow Developer Certificate,14,Self-study (books/papers),No,No
R10823,NLP; Generative AI; R; Python; LangChain; Graph Neural Networks; TensorFlow; GCP,8,TensorFlow Developer Certificate,9,DeepLearning.AI,Yes,Partially
R10824,Kubernetes; AWS; NLP; Spark; Prompt Engineering; Python; Pandas,7,DeepLearning.AI Specialization,7,Fast.ai,No,Yes
R10825,Reinforcement Learning; Azure; Python; RAG Pipelines; Prompt Engineering; R; Spark; Scikit-learn; Computer Vision; Edge AI / TinyML,10,,4,edX,Yes,Partially
R10826,TensorFlow; Azure; Data Visualization; Generative AI; Docker; Feature Engineering,6,,2,Company training,Yes,No
R10827,SQL; R; GCP; Feature Engineering; Python,5,,5,Company training,Yes,No
R10828,AWS; Reinforcement Learning; Statistics; Data Visualization; Kubernetes; R; GCP,7,DeepLearning.AI Specialization,0,YouTube,Yes,Partially
R10829,PyTorch; TensorFlow; A/B Testing; LangChain; Edge AI / TinyML; RAG Pipelines,6,Kaggle Competitions Expert,7,Coursera,No,Yes
R10830,Docker; Azure; AWS; R; Python; Scikit-learn; A/B Testing; Prompt Engineering; SQL; Reinforcement Learning; Statistics; Computer Vision; RAG Pipelines; Feature Engineering,14,Coursera ML Certificate,18,DeepLearning.AI,No,Partially
R10831,Time Series Analysis; Computer Vision; Prompt Engineering; NLP; A/B Testing; SQL; Data Visualization; Transformers; Statistics; RAG Pipelines,10,,15,Kaggle Learn,No,Yes
R10832,Spark; AWS; R; TensorFlow; Docker; Python; MLOps; Computer Vision; Generative AI; Kubernetes,10,,1,Company training,No,No
R10833,A/B Testing; Data Visualization; TensorFlow; PyTorch; LangChain; Fine-tuning LLMs; Python,7,Azure AI Engineer,17,YouTube,No,No
R10834,Azure; Spark; Reinforcement Learning; Pandas; Graph Neural Networks; Data Visualization; PyTorch; Edge AI / TinyML; LangChain,9,Kaggle Competitions Expert,0,Udemy,No,No
R10835,SQL; R; Docker; A/B Testing; MLOps; Kubernetes,6,,16,Pluralsight,Yes,No
R10836,A/B Testing; Statistics; Time Series Analysis; Graph Neural Networks; Generative AI; RAG Pipelines,6,TensorFlow Developer Certificate,9,Udemy,Yes,No
R10837,Spark; Fine-tuning LLMs; Time Series Analysis; PyTorch; AWS; Feature Engineering; Kubernetes; LangChain,8,,4,DeepLearning.AI,No,Partially
R10838,Kubernetes; TensorFlow; Statistics; Data Visualization; Scikit-learn; Azure; MLOps; R; A/B Testing; Graph Neural Networks; NLP,11,DeepLearning.AI Specialization,10,Udemy,Yes,Partially
R10839,Pandas; Reinforcement Learning; Docker; Fine-tuning LLMs; RAG Pipelines; Transformers; NLP,7,TensorFlow Developer Certificate,8,Pluralsight,Yes,No
R10840,TensorFlow; AWS; Python; NLP; Fine-tuning LLMs; R; Graph Neural Networks; MLOps,8,,8,edX,Yes,Partially
R10841,TensorFlow; LangChain; MLOps; R; Feature Engineering; Edge AI / TinyML; A/B Testing; PyTorch; Prompt Engineering; GCP; Spark,11,Kaggle Competitions Expert,9,Self-study (books/papers),Yes,No
R10842,Scikit-learn; Fine-tuning LLMs; Graph Neural Networks; Generative AI; Prompt Engineering; Azure; Statistics; A/B Testing,8,TensorFlow Developer Certificate,6,Fast.ai,No,Yes
R10843,Generative AI; Prompt Engineering; Docker; Statistics; A/B Testing; MLOps; Reinforcement Learning; NLP,8,,10,Pluralsight,Yes,Partially
R10844,Data Visualization; LangChain; TensorFlow; AWS; SQL; Graph Neural Networks,6,Google Professional ML Engineer,5,Company training,No,No
R10845,Azure; Computer Vision; Pandas; RAG Pipelines; TensorFlow; MLOps; LangChain; Transformers,8,Kaggle Competitions Expert,3,DeepLearning.AI,Yes,Yes
R10846,Time Series Analysis; GCP; NLP; AWS; Spark; Feature Engineering; TensorFlow; Computer Vision,8,AWS ML Specialty,5,Company training,Yes,Yes
